GraveID	GraveName	PhaseID	GraveDepth	HumanMNI	CitationID	ItemID	notes	time_added	user_added	time_last_update	user_last_update
G12863	PF801	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12864	HUNG458	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12865	1128, grave 815	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12866	353, grave 356	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12867	HUNG467, grave 807	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12868	HUNG470, grave 867	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12869	123, grave 871	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12870	1236, grave 881	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12871	33/42	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12872	34/82	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12873	69/133	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12874	103/208	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12875	134/239	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12876	270/432	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12877	281/444	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12878	282/445	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12879	285/450	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12880	288/454	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12881	311/486	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12882	324/499	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12883	340/519	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12884	353/532	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12885	356/535	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12886	368/562	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12887	387/581	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12888	448/646	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12889	484/685	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12890	486/687	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12891	644/944	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12892	697/1004	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12893	698/1005	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12894	717/1024	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12896	764/1079	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12897	773/1093	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12898	805/1138	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12899	821/1168	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12900	839/1198	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12901	861/1222	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12902	867/1230	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12903	871/1236	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12905	889/1260	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12907	897/1268	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12909	289/454	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
